Richness,Transect_ID,point,reach,canopy,cat1,cat2,cat3,flow
18,1,a,a,19,122.23,20.37,264.84,10
23,2,b,a,24,244.46,61.12,264.84,10
19,3,c,a,17,224.09,122.23,224.09,10
20,4,d,a,17,244.46,162.98,264.84,10
18,5,e,a,26,101.86,122.23,285.21,10
20,6,f,a,18,81.49,162.98,183.35,10
25,7,g,a,9,203.72,101.86,61.12,10
17,8,h,a,7,224.09,61.12,20.37,10
17,9,i,a,8,101.86,81.49,61.12,10
10,11,j,b,0,0,0,0,0
20,12,k,b,0,81.48797034,0,0,0
21,13,l,b,9,40.74398517,61.11597775,20.37199258,3.2
16,14,m,b,0,20.37199258,0,0,3.2
20,15,n,b,2,203.72,20.37,0,3.2
17,16,o,b,0,61.12,0,20.37,3.2
17,17,p,b,0,346.32,0,0,3.2
18,18,q,b,0,183.35,0,0,3.2
20,19,r,b,1,325.9518814,40.74398517,0,3.2
17,21,s,c,10,162.9759407,122.2319555,0,3.1
18,22,t,c,0,468.5558294,61.11597775,20.37199258,3.1
20,23,u,c,0,631.53,40.74,0,3.1
14,24,v,c,0,733.39,40.74,0,3.1
12,25,w,c,4,346.32,0,0,3.1
20,26,x,c,4,203.72,0,61.12,3.1
20,27,y,c,10,672.28,101.86,20.37,3.1
26,28,z,c,0,325.95,0,0,3.1
22,29,aa,c,0,203.72,0,0,3.1
14,31,ab,d,0,1120.46,0,0,0
15,32,ac,d,0,814.88,0,0,0
17,33,ad,d,1,427.81,0,0,0
17,34,ae,d,0,468.56,20.37,0,0
14,35,af,d,2,570.42,0,0,0
16,36,ag,d,0,162.98,0,0,0
16,37,ah,d,3,122.23,20.37,0,0
15,38,ai,d,0,590.79,0,0,0
14,39,aj,d,0,244.46,122.23,0,0
